CharacterPath,Label,Class,PredClass
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder0\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder0\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder0\skeleton2.png,0,0,14
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder1\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder1\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder2\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder2\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder3\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder3\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder4\skeleton0.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder4\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder4\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder5\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder5\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder5\skeleton2.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder6\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder6\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder6\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder7\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder7\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder7\skeleton2.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder8\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder8\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder8\skeleton2.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder9\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder9\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder10\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder10\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder11\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder11\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder12\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder12\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder12\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder13\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder13\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder13\skeleton2.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder14\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder14\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder14\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder15\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder15\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder15\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder16\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder16\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder16\skeleton3.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder17\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder17\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder18\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder18\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder19\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder19\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder20\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder20\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder20\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder21\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder21\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder21\skeleton2.png,0,0,5
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder22\skeleton0.png,0,0,5
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder22\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder22\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder23\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder23\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder23\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder24\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder24\skeleton1.png,0,0,14
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder24\skeleton2.png,0,0,14
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder25\skeleton1.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder25\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder26\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder26\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder27\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder27\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder28\skeleton0.png,0,0,5
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder28\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder28\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder29\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder29\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder29\skeleton2.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder30\skeleton0.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder30\skeleton1.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder30\skeleton2.png,0,0,18
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder31\skeleton0.png,0,0,15
./Win1Year_1959/Sheet0\ColumnFolder0\RowFolder31\skeleton1.png,0,0,18
